1,1791,3167,708,709,5490,5938,
10,1647,2191,2095,2607,709,25,
11,2539,834,1807,1495,4454,2458,
12,5490,5113,5401,304,486,2234,
13,5407,87,1218,5938,2607,5457,
14,2539,2729,203,834,2095,708,
15,2458,1791,5113,1647,2016,1495,
16,25,4454,6226,2495,304,5401,
17,5407,5181,2590,341,1807,486,
18,1391,3167,2559,2234,709,1640,
19,5490,2191,5457,5938,6226,203,
2,4454,1807,5181,2729,2191,1218,
20,2729,1791,1495,2607,2095,5181,
21,1647,834,87,2234,1807,3167,
22,2539,5113,1218,5407,2495,341,
23,708,304,5938,486,2458,1640,
24,2016,5401,4454,709,1391,2590,
25,2191,25,2539,5490,2559,1791,
26,2495,2234,2095,5938,1495,341,
27,2458,834,5457,5401,2729,486,
28,1807,709,708,25,2016,2590,
29,5181,6226,87,5407,4454,1647,
3,304,2016,5407,5457,5401,6226,
30,1218,1391,304,203,2559,2191,
31,2607,1640,5113,5490,3167,2539,
32,2234,5401,5938,5181,1647,2729,
33,709,1495,5407,2191,2590,834,
34,203,5490,2095,2458,1218,2016,
35,341,5457,25,3167,4454,1640,
36,708,2559,6226,2607,87,304,
37,1791,1807,2495,5113,486,1391,
38,5490,1495,2234,2095,1218,5401,
39,2458,2729,2590,25,3167,5407,
4,2458,1391,87,2559,341,2539,
40,304,1647,1807,2539,5938,1391,
41,709,5113,2559,5457,203,87,
42,1640,5181,2495,6226,834,2607,
43,2016,486,708,4454,341,2191,
44,1791,5457,2095,2590,5401,1807,
45,5490,1391,1647,304,5181,834,
46,2495,5113,4454,2458,2607,2559,
47,3167,6226,486,1218,1495,25,
48,341,709,2016,2191,1640,5938,
49,203,5407,1791,2539,708,2234,
5,2590,1647,2607,486,203,2495,
50,2729,5490,25,87,2559,4454,
51,1218,2607,341,1391,834,5401,
52,1640,203,1807,2539,6226,1495,
53,708,2495,1647,2191,5407,2234,
54,304,2095,2458,3167,709,5181,
55,5938,2590,486,5113,87,2016,
56,2729,5457,1640,1791,1647,1218,
57,4454,2607,203,25,2458,1807,
58,1391,341,6226,708,5490,5407,
59,2729,5938,834,304,2590,2559,
6,2234,834,5113,1640,2095,25,
60,486,1495,2095,87,2495,709,
61,2016,2539,1791,5457,2234,5181,
62,5401,2191,708,3167,5113,1647,
63,2590,2495,1495,304,341,5490,
64,6226,1218,2234,2458,709,2539,
65,2607,2191,3167,2016,1807,2729,
66,1640,5407,5401,5113,5181,203,
67,5938,87,2095,1791,4454,1391,
68,834,486,25,2559,5457,2016,
69,2607,2234,2729,6226,5113,2590,
7,1495,5181,2559,1218,708,5457,
70,2458,3167,5401,1791,2191,87,
71,25,5181,5938,1495,1391,708,
72,1218,2559,1640,2095,5407,1807,
73,4454,304,709,341,1647,203,
74,486,2539,5457,5490,2495,834,
8,203,2016,1391,3167,2729,2495,
9,341,2590,87,1640,6226,1791,
